"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","289","Test name","chromium","Sun Feb 16 15:43:27 EST 2025","passed","Sun Feb 16 15:43:28 EST 2025","","specs/example.spec.ts","",""
"","606","get started link","chromium","Sun Feb 16 15:43:27 EST 2025","passed","Sun Feb 16 15:43:27 EST 2025","","specs/example.spec.ts","",""
"","682","has title","chromium","Sun Feb 16 15:43:26 EST 2025","passed","Sun Feb 16 15:43:27 EST 2025","","specs/example.spec.ts","",""
